channel_title,avg_views,video_count
JelloApocalypse,556575,2
Red Bull,556391,8
ASMR Darling,555758,1
GameXplain,554506,2
Mary Giannone,553637,1
Sylvia Gani,552925,3
ElleOfTheMills,550384,4
Vsauce2,549388,2
SHOWTIME,546964,1
Patrick Nan,546909,1
Zendaya,545535,1
Breakfast Club Power 105.1 FM,544984,10
NowThis World,544770,1
RealLifeLore,543355,4
Mr. Kate,540777,7
Real Engineering,539560,1
David Guetta,536592,3
Veritasium,536326,2
Epicurious,535304,5
Battle Universe,534602,1
grandayy,534278,1
I Like To Make Stuff,530377,2
ToniBraxtonVEVO,528906,2
MLB,528856,2
BrainfooTV,527892,1
oregon,527444,1
blackbearVEVO,524944,1
GPhase,523491,1
HyundaiUSA,523481,1
Illumination,522007,1
Lindsey Stirling,521991,5
Camila Cabello,520114,2
Laura Lee,519681,7
Amber Scholl,518642,8
Russell Howard,516045,1
Cut,514690,8
Access,511901,2
ProZD,510237,3
Looper,509815,2
itsAlexClark,507091,11
SmarterEveryDay,506908,3
NiallHoranVEVO,504112,3
Mike Shinoda,503952,2
ESPN,502798,83
CalumScottVEVO,499861,5
Chubbyemu,494898,2
FOOD INSIDER,494687,1
Pitch Perfect,494560,2
Ultra Music,494304,2
Danny Sapko,493662,1
WUSA9,491936,1
BBC Radio 1,491415,16
ONE Media,490628,6
BT Sport,490146,1
iggyazaleamusicVEVO,490100,2
Panic! At The Disco,489663,2
Poppy,488948,3
boogie2988,488915,1
Scotty Sire,488580,1
Ten Second Songs,486361,1
TkyoSam,486328,1
FOX Soccer,485128,8
NBA Highlights · YouTube,483504,2
ALL URBAN CENTRAL,481171,1
Simone Giertz,480225,7
Helpful Vancouver Vet,479666,1
Vox,475997,46
IGN,475895,10
Jason Mraz,475557,1
Bobby Duke Arts,475480,2
Riverdale,474954,1
Chris Stuckmann,473457,4
Mark Wiens,471246,1
PsychoSoprano,470916,2
Michelob ULTRA,470674,2
CalebCity,469136,2
AntsCanada,468740,2
Rob Bliss,466511,1
TMZ,466387,11
New Scientist,465893,1
Hydraulic Press Channel,465326,7
INSIDER,464285,33
Brent Pella,462490,1
Howl Of A Dog,462463,1
Jeopardy!,458172,2
E! Entertainment,457316,18
MustardVEVO,457170,1
Strictly Dumpling,456041,5
Christine Sydelko,455870,1
EA SPORTS,454950,1
Chris Smoove,454320,2
The Grand Tour,453667,3
Tamar Chronicles,451356,1
Glamour Magazine,450988,4
merrelltwins,449665,3
VICE,445713,1
GQ,445485,9
Amazon Studios,444864,4
Muselk,443919,1
SupremeSounds,443055,1
NBC Sports,442326,16
Fancy Vlogs By Gab,441809,1
NBA on TNT,439053,3
Hamilton: An American Musical,438852,2
Miss Universe,437779,1
CNN,436517,51
Sprinkleofglitter,435052,3
Deep Look,432987,1
littlemixVEVO,432367,1
PointlessBlogVlogs,430932,1
Jeremy Jahns,430576,6
Gentle Whispering ASMR,428389,1
Wendover Productions,428256,6
Atlantic Records,427336,8
The Food Ranger,425855,6
Bruno Mars,424943,2
Rosanna Pansino,423366,12
Netflix,421700,58
AdelaineMorin,421268,2
NASA Jet Propulsion Laboratory,421240,3
TheReportOfTheWeek,420724,6
Ben Actis,419483,1
Skip and Shannon: UNDISPUTED,417332,4
MLive,416998,3
Corridor,414045,1
Coca-Cola,413417,1
Chad Kroeger,412812,1
JuliaMichaelsVEVO,412323,1
Keith Urban,409350,2
Macklemore LLC,408491,1
You Suck At Cooking,407915,10
Tanya Burr,407628,2
MGMTVEVO,407313,1
LadyGagaVEVO,406918,2
Patricia Bright,406776,2
TRL,406316,2
Yes Theory,405930,3
5FDPVEVO,405800,2
onsetfacilities.com,404058,1
Nike,403613,1
The Verge,402917,14
Chilly Willy,402547,1
ChrisBrownVEVO,400949,1
Frank May,399491,1
Daisy Marquez,399433,3
1MILLION Dance Studio,398737,3
Steve1989MREInfo,397926,1
googledoodles,397920,1
Jackie Aina,397264,8
Rooster Teeth,395529,4
Channel Awesome,395414,2
Attaullah Malik,390964,1
doddleoddle,390631,1
Kitty Hawk,389504,1
The Wendy Williams Show,389274,1
A24,388905,5
Funny Commercials,385563,1
Green Day,382354,2
Lauv,382206,3
Kelly Clarkson,381779,4
NCAA March Madness,380922,6
Wendy Williams,379892,7
DaveHax,379756,1
Motherboard,379394,2
Taylor Nicole Dean,378875,4
Squarespace,378593,1
People are Awesome,378202,2
Dani Ochoa,377266,2
samfryltd,377085,1
AnimalWised,368278,2
PLAYERUNKNOWN'S BATTLEGROUNDS,367796,1
Good Mythical MORE,366647,1
India Survival Guide,365603,1
Impulse,364478,2
Diet Coke,363422,1
PBS Eons,362694,4
SomeThingElseYT,360571,1
Gibi ASMR,359743,3
Bon Appétit,359607,23
Anaki Abo,358597,1
Recording Academy / GRAMMYs,358526,2
Rudimental,357398,3
SUPERFRUIT,354659,3
Highlight Heaven,352882,2
Austin Evans,352127,9
The Official Pokémon YouTube Channel,351995,4
STARZ,351950,1
Desi Perkins,351211,5
Ricky Dillon,351073,1
MNEKVEVO,350884,1
USA Gymnastics,350771,1
Lenarr Young,350104,1
Olivia Jade,349475,1
Carla Resendiz,349459,1
Tina Yong,348023,3
Vanity Fair,347166,22
Gigi Gorgeous,347163,3
OmarGoshTV,347036,1
HellthyJunkFood,345758,14
ChangeofplanZ,345571,1
Mean Girls on Broadway,344112,1
PatrickStarrr,343737,3
MTV,343073,3
matt,342214,1
Brad Mondo,341986,3
Major Lazer,340783,2
Alex French Guy Cooking,340597,1
Maddie Ziegler,340194,2
KathleenLights,339910,8
Fueled By Ramen,339772,6
Funny News,339263,1
IFC Films,337850,3
TODAY,337074,20
SugarlandVEVO,334901,2
BreakingBenjaminVEVO,334173,1
Hope For Paws - Official Rescue Channel,333753,5
Talking Kitty Cat,333728,1
Tia Mowry's Quick Fix,333576,2
KylieMinogueOnVEVO,333148,2
JOE.ie,331976,1
FundingCircleUK,331939,1
5MadMovieMakers,330722,2
Corinne Leigh,330124,1
Clevver Style,329917,5
ZEDDVEVO,328524,2
DrinkBODYARMOR,327511,1
Full Frontal with Samantha Bee,327134,9
JackWhiteVEVO,326314,2
The Infographics Show,325936,10
RoadsideFlix,325769,1
Mike Boyd,324351,7
TheHoonigans,321245,1
How To Cake It,318569,8
Sesame Street,318249,1
Cammie Scott,318040,1
heyitsfeiii,317534,3
Tom Scott,317145,23
Vlogs By DK4L,316768,1
KATC,316092,1
CBC News,315746,6
Alabama Crimson Tide on AL.com,315661,1
FoxSearchlight,315567,3
ELLE,314393,5
Summoning Salt,312354,1
Donald J. Trump Topic,311157,1
Today I Found Out,310658,5
Ellie and Jared,310056,2
ElectroBOOM,309891,4
WhatCulture Wrestling,309747,1
Life Noggin,308973,25
CrossFit®,308740,1
AusAntarctic,308201,1
Pero Like,306854,1
Australian Open TV,306414,4
Ranz Kyle,305966,2
Eh Bee Family,305956,1
Pop & Sports HQ,305899,1
Engineering Explained,304310,2
yovo68,304017,1
The Dodo,303794,18
Kortney Steury,303335,1
Genius,303317,6
Studio C,302417,5
Joey Graceffa,301967,3
Christen Dominique,301657,5
