video_id,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20
t4YAyT4ihIQ,0.18574476,0.076936655,0.03912563,0.12848061,0.005909451,0.08433262,0.03913258,-0.0005017109,0.07616398,-0.009017788,-0.0949883,-0.021022443,-0.05109019,-0.0797079,-0.03965567,0.02996589,-0.000843226,0.097320706,0.13752952,0.18807523
MNiweoKXwfg,0.007486388,-0.26641423,0.001943616,0.028237872,0.20451838,-0.019626334,-0.1070223,-0.13667433,0.0722668,-0.012198985,-0.07228441,-0.18100503,-0.087187305,0.026933882,0.03983186,-0.060907416,0.111352555,0.090849064,-0.0053947857,0.06149565
Jw1Y-zhQURU,-0.13780963,0.07839967,-0.07326884,0.034595862,-0.0453722,-0.23165604,0.033420295,0.03168027,0.20476848,0.0450503,0.004967302,-0.093687855,-0.069601834,0.24003747,-0.24487309,-0.12310121,-0.039373267,0.0224418,0.004110665,0.08288235
2Vv-BfVoq4g,-0.47654575,0.1356927,-0.07846085,0.08893524,-0.057399563,0.1967265,-0.025868677,0.13345288,0.062429212,0.01332707,0.08727501,-0.003110299,0.057379212,0.09220643,0.022120317,-0.120351054,0.080767944,0.0007133754,-0.0021768166,0.09672686
UFYCTJlayS4,0.124224566,-0.0626514,-0.092289016,-0.099556655,-0.15696585,0.009576194,0.09399098,0.0674002,0.16610897,-0.16008043,0.03360811,0.10404817,0.07293539,0.08260953,0.15692632,0.18241094,-0.16383456,-0.14886127,0.05571225,0.0060927677
cccyOn99s4Y,0.076847956,-0.0308802,0.22579883,0.05147552,0.10536525,0.03683722,0.112668365,0.010938823,-0.1423616,0.08625951,-0.13491392,-0.025091771,0.069160014,0.019012243,0.03269057,-0.09426142,0.05926758,-0.021966226,0.042492032,-0.09526017
abGCYPCk294,-0.059313416,-0.35725743,0.14496309,-0.14713208,0.06557254,-0.056729883,-0.04605835,0.10576634,0.13048609,-0.09566932,0.016889863,0.037610188,-0.12894787,-0.07749027,-0.0929488,0.07691267,0.0049877604,-0.07551064,-0.024111588,-0.15422428
lY_0mkYDZDU,-0.39196014,-0.017132847,-0.131736,0.018379472,0.07636766,0.03338422,-0.10969134,0.12369184,0.06463636,0.13390806,-0.11750187,-0.062084563,0.0016763359,-0.050761934,0.001103716,-0.025579331,-0.017559558,0.014114643,0.20428114,-0.08368801
k8NxqyGcZA4,0.046582595,-0.012339391,0.376611,0.02613175,0.15194187,0.003410615,-0.0058443174,0.16030107,-0.09913735,-0.025414087,-0.0037919432,0.0133245755,-0.03785617,0.022803886,-0.113436066,-0.11208985,0.009218258,-0.12784944,0.04553521,0.024035674
IE-xepGLVt8,0.11243993,-0.020612378,0.17678842,-0.045420483,0.048475586,0.1282649,0.044548225,0.034070704,0.008459182,-0.028646395,-0.022770219,-0.119555056,0.0558079,-0.016620472,-0.04489679,-0.02996864,0.021299437,0.09065407,0.030759647,0.16046019
ObIQ0s02UHg,-0.40566492,0.07016386,-0.19825955,0.10813534,0.011914587,0.036412127,-0.10528818,-0.0079558045,-0.0024671704,0.028523974,-0.049432095,-0.022988025,0.06250678,-0.09513691,-0.06328915,-0.077816874,0.083957545,0.029887218,0.11143769,0.07408945
cOc3tsFWoRs,-0.08355959,-0.062079173,0.23252276,-0.104239434,0.11392983,-0.030727461,0.022168748,0.023372082,-0.09437218,-0.07544493,-0.06133109,-0.03941533,0.04024062,-0.10562979,0.111141145,0.0062795263,0.05166156,-0.019199837,0.10397764,0.08157148
AJYb0Yom5UQ,-0.042993903,-0.04294999,0.39261994,0.13781175,0.06798068,-0.040541545,-0.17181197,0.016649192,0.13685367,-0.012731455,-0.00028225034,0.050838523,0.02430318,0.08314619,-0.03968241,-0.0347023,0.062243156,-0.08449446,-0.021880321,-0.013227411
gLswXiRLdkA,0.23324475,-0.005638319,-0.1300578,-0.1854808,-0.086272165,-0.067731604,0.17304371,0.049814597,0.2563925,0.023768038,0.028855696,0.04458514,-0.111841515,-0.028453397,0.09611801,-0.0271579,0.11202252,-0.05131806,-0.06454949,0.10445387
MyEqfBkzESU,0.14492384,-0.0016647354,-0.09041503,-0.14939505,-0.09108211,0.14026847,-0.016980037,0.01197819,-0.06888544,-0.08073607,-0.007059604,-0.09951965,0.04328792,0.053282037,-0.13416502,-0.19374287,0.01695009,0.022470608,-0.0125072235,0.09838653
wJYE0sFOteE,0.022379473,0.08569233,-0.15283638,-0.07165219,0.0124204345,-0.20546186,-0.11601919,-0.008799251,0.120435305,0.031611286,-0.10485245,0.040227987,0.08406994,-0.20120971,0.015840592,-0.08181199,0.06911988,0.07688905,-0.04303002,0.06325964
L_5_slz4ke4,0.014310688,-0.18170398,0.09898099,0.32438612,-0.061239652,-0.0040799156,-0.0021280125,0.073601946,0.015015865,0.02913338,-0.1386874,-0.29635182,0.025903229,-0.046413902,-0.05849406,0.13942486,-0.03407693,-0.056182887,0.020409456,-0.05071754
OKoL852K9uA,0.17668477,0.02358862,-0.12353086,0.0041401386,-0.10511137,0.19192027,-0.0800598,0.10563241,-0.038366437,0.004973367,-0.008274943,-0.0044185016,-0.03490542,0.030687632,-0.045336533,0.038055804,0.012785089,-0.09177355,-0.070965804,-0.05768622
pa_oUisZZy0,0.044083312,0.01139139,0.1863985,0.114889726,-0.006818599,-0.12233709,-0.2304212,0.04571555,0.06842287,0.06614227,0.08314437,0.09075186,0.09824507,0.054914925,-0.09611136,-0.044172294,0.06918098,-0.036555976,0.08502642,0.041602362
